State,Bill_Number,Bill_Name,Summary,Source_Link,Bill_Type,Year
Arkansas,HB 1041,Deceptive Deepfakes In Elections,"prohibits distributing **fraudulent deepfake media** within a set period before an election, with civil penalties for violators. *(bill status: )*",https://www.arkleg.state.ar.us/Bills/Detail?id=HB1041&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1071,Frank Broyles Publicity Rights (Ai),"expands publicity rights to cover unauthorized ai-generated reproductions of an individual’s **image, voice, or likeness** for commercial use. *(bill status: )*",https://www.arkleg.state.ar.us/Bills/Detail?id=HB1071&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1083,Arkansas Kids Online Safety Act,imposes duties on online platforms (esp. those using ai algorithms) to protect minors from harms like anxiety or self-harm; requires parental tools and transparency for **ai-driven recommendation algorithms**. *(bill status: )*,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1083&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1141,Criminal Deepfake Offenses,makes it a crime to injure a candidate by creating and distributing a deceptive **ai deepfake** within days of an election. *(bill status: )*,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1141&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1283,K-12 Digital Media Standards,directs the education department to develop k-12 **digital media literacy standards** that include ai content. *(bill status: )*,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1283&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1297,Ai & Algorithms In Insurance,"regulates health insurers’ use of **ai and algorithms**, aiming to prevent discriminatory practices in coverage. *(bill status: )*",https://www.arkleg.state.ar.us/Bills/Detail?id=HB1297&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1518,Ai Child Sexual Abuse Material,"creates offenses for creating, distributing, or even possessing **ai-generated child sexual abuse** content. *(bill status: )*",https://www.arkleg.state.ar.us/Bills/Detail?id=HB1518&ddBienniumSession=2025%2F2025R,HB,2025
Arkansas,HB 1083,To Create The Arkansas Kids Online Safety Act.,"proposed to establish the arkansas kids online safety act, requiring social media and online platforms to implement protections for children under 13. included provisions for transparency about algorithmic content feeds and other safeguards for minors’ online experiences.",https://arkleg.state.ar.us/Bills/Detail?id=HB1083&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1283,To Require The Division Of Elementary And Secondary Education To Include Digital Media Standards In Kindergarten Through Grade Twelve Library Media Standards.,"directs the state education department to incorporate comprehensive digital media literacy standards into k-12 curriculum guidelines. ensures students receive instruction in areas like responsible social media use, artificial intelligence awareness, and online information literacy.",https://arkleg.state.ar.us/Bills/Detail?id=HB1283&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1297,"Concerning Artificial Intelligence, Algorithms, And Other Automated Technologies; And To Regulate Certain Practices Of Healthcare Insurers.",regulates the use of artificial intelligence and algorithmic decision-making by health insurance companies. requires healthcare insurers to disclose the limitations and biases of any ai algorithms used and to comply with oversight for fairness in coverage decisions&#8203;:contentreference[oaicite:0]{index=0}&#8203;:contentreference[oaicite:1]{index=1}.,https://arkleg.state.ar.us/Bills/Detail?id=HB1297&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1504,"To Create The Offense Of Manufacturing, Modifying, Selling, Transferring, Or Operating A Robotic Device Or An Uncrewed Aircraft That Is Equipped Or Mounted With A Weapon.","creates a criminal offense for producing, altering, selling, transferring, or operating any robot or unmanned drone outfitted with a weapon. aims to prohibit the deployment of armed robots or drones except as authorized by law.",https://arkleg.state.ar.us/Bills/Detail?id=HB1504&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1518,"To Create The Offense Of Creating, Distributing, Possessing, Or Viewing Artificial Intelligence-Generated Matter Depicting Sexually Explicit Conduct Involving A Child.","establishes a felony offense for anyone who creates, distributes, possesses, or even views sexually explicit material involving a minor that has been generated by artificial intelligence. closes a legal gap by treating ai-generated child sexual abuse images as illegal contraband on par with real child pornography.",https://arkleg.state.ar.us/Bills/Detail?id=HB1518&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1529,To Create The Criminal Offense Of Unlawful Creation Or Distribution Of Deepfake Visual Material; And To Establish A Cause Of Action For Unlawful Creation Of Deepfake Visual Material.,makes it a crime to knowingly create or distribute deceptive “deepfake” visual media without consent. also grants individuals depicted in an unauthorized deepfake the right to sue the creator for damages through a new cause of action.,https://arkleg.state.ar.us/Bills/Detail?id=HB1529&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1726,To Create The Arkansas Kids Online Safety Act.,"enacts the arkansas kids online safety act to protect minors on digital platforms. requires online services to provide parental tools and an option for users to engage without algorithm-driven content personalization, aiming to reduce harms to minors from social media algorithms.",https://arkleg.state.ar.us/Bills/Detail?id=HB1726&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1816,To Prohibit Healthcare Providers And Healthcare Insurers From Using Artificial Intelligence In The Delivery Of Healthcare Services Or The Generation Of Medical Records Unless Certain Requirements Are Met.,prohibits healthcare professionals and insurers from utilizing artificial intelligence in direct patient care or in creating medical records unless specific safety and transparency standards are fulfilled. intended to ensure human oversight and reliability when ai is applied in healthcare settings.,https://arkleg.state.ar.us/Bills/Detail?id=HB1816&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1876,Regarding The Ownership Of Model Training And Content Generated By A Generative Artificial Intelligence Tool.,"defines ownership rights for data and content produced using generative ai tools. stipulates that the individual who uses a generative ai to produce content owns both the training input and the ai-generated output, unless it was created at the direction of an employer (in which case the employer owns it)&#8203;:contentreference[oaicite:2]{index=2}&#8203;:contentreference[oaicite:3]{index=3}.",https://arkleg.state.ar.us/Bills/Detail?id=HB1876&ddBienniumSession=2025/2025R,HB,2025
Arkansas,HB 1877,Concerning Criminal Offenses Related To Possession Of Sexually Explicit Material That Depicts A Child; And To Include A Computer Generated Image That Is Indistinguishable From The Image Of A Child.,expands the definition of child pornography to include computer-generated or ai-generated depictions that are indistinguishable from real children in sexually explicit scenes. ensures that possessing or distributing such realistic fake images of minors is subject to the same criminal penalties as real child sexual abuse material.,https://arkleg.state.ar.us/Bills/Detail?id=HB1877&ddBienniumSession=2025/2025R,HB,2025
Arkansas,SB 258,"To Create The Arkansas Digital Responsibility, Safety, And Trust Act.","establishes a comprehensive framework for consumer data privacy and artificial intelligence governance. creates the arkansas digital responsibility, safety, and trust act, which defines consumer rights over personal data and requires companies to implement transparency, accountability, and risk assessments for algorithms and high-risk ai systems.",https://arkleg.state.ar.us/Bills/Detail?id=SB258&chamber=Senate&ddBienniumSession=2025/2025R,SB,2025
California,AB 1018,Automated Decision Systems.,"establishes requirements for automated decision systems (ads) that make consequential decisions impacting people. it mandates that ai developers conduct bias and performance evaluations of such systems and that deployers (users of the ads) provide individuals with notice, the option to opt out of ai-only decisions, an appeal process for ai-driven decisions, and undergo independent audits to ensure fairness and accountability.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1018,AB,2025
California,AB 1064,Leading Ethical Ai Development (Lead) For Kids Act.,"creates a state lead for kids standards board to regulate ai products likely to be used by children. the board will set risk assessment criteria for ai targeting kids; ai developers must conduct risk assessments and comply with safety/privacy standards, and the bill allows enforcement via civil penalties or lawsuits if an ai product causes harm to a child’s well-being.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1064,AB,2025
California,AB 1405,Artificial Intelligence: Auditors: Enrollment.,"requires the state’s government operations agency to establish by january 1, 2027, an online enrollment system for ai auditors and a process for individuals to report misconduct by such auditors. this bill seeks to create oversight and accountability for third-party ai auditors who evaluate automated decision systems for compliance with ai regulations.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1405,AB,2025
California,AB 222,Data Centers: Energy Usage Reporting And Modeling.,"increases transparency around the energy consumed by ai development by requiring ai developers to disclose the total energy used to train large models and data center operators to report annual energy use and efficiency metrics, ensuring costs of new data centers aren’t unfairly passed to ratepayers.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB222,AB,2025
California,AB 279,School Libraries & Ai Literacy,"requires periodic review of school library standards, including input from teachers focusing on **ai literacy**, to update library/media skills for ai era. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB279,AB,2025
California,AB 316,Ai,civil liability defenses*: bars defendants who developed or used ai from avoiding liability by claiming an ai **acted autonomously** to cause harm. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB316,AB,2025
California,AB 325,Cartwright Act & Pricing Algorithms,updates antitrust law (cartwright act) to prohibit use of **pricing algorithms trained on non-public competitor data**. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB325,AB,2025
California,AB 410,Bot Disclosure Expansion,makes it unlawful to use an online bot to communicate with someone without disclosing it is a bot; requires disclosure on prompt and broadens the definition of “bot” to include **accounts using generative ai**. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB410,AB,2025
California,AB 412,Generative Ai Training Data Disclosure*; Generative Artificial Intelligence: Training Data: Copyrighted Materials.,"requires ai developers to **document any copyrighted materials used in training generative ai models** and, upon request, provide copyright owners a list of their works used in training. *(bill text: )* requires developers of generative ai models to document any copyrighted materials used in training their models and to provide a mechanism for copyright owners to request and obtain information about such use, thereby protecting intellectual property rights in the ai training process.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB412; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB412,AB,2025
California,AB 489,Ai “Doctor” Misrepresentation*; Health Care Professions: Deceptive Terms Or Letters: Artificial Intelligence.,"extends existing bans on using certain medical titles (m.d., etc.) to apply to entities that deploy ai systems falsely implying licensed **health care credentials**. *(bill text: )* prohibits an artificial intelligence system from using titles or letters (such as “dr.”) that imply it is a licensed health care professional when it is not. ensures that ai tools cannot impersonate licensed medical providers in advertising or practice, protecting patients from deceptive ai-driven health advice.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB489; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB489,AB,2025
California,AB 512,Health Prior Authorization Timeframes,tightens timelines for health plan prior authorization decisions (48 hours standard/24 urgent) and reaffirms these standards apply even if **ai algorithms** assist in utilization review. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB512,AB,2025
California,AB 551,Reproductive Health Program (Ai Tools),"establishes a reproductive health preparedness program, allowing grant funds to develop **clinical guidelines and training tools (including ai-driven tools)** to counter health misinformation. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB551,AB,2025
California,AB 682,Health Coverage Reporting (Ai Denials),requires insurers’ annual reports to include monthly totals of claims **denied or partially denied using ai or predictive algorithms**. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB682,AB,2025
California,AB 723,Real Estate Photo Ai Disclosure,"requires real estate agents to disclose when listing photos are **digitally altered** (e.g., with ai) and provide an unaltered image for comparison (). *(bill text: )*","https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation#:~:text=Real%20Estate%3A%20Digitally%20Altered%20Images%3A,Disclosure",AB,2025
California,AB 93,Water Resources: Demands: Data Centers.,"requires data center operators to report water usage and meet efficiency standards, addressing the resource demands of emerging technologies like ai.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB93,AB,2025
California,SB 11,Ai & Synthetic Content Crimes*; Artificial Intelligence Technology.,"addresses ai-generated synthetic media and impersonation. this bill defines and penalizes the use of ai to create “deepfake” content for false personation or fraud (treating it as identity theft/false impersonation under the law), extends existing voice and likeness protections to ai-generated replicas, directs the judicial council to update court evidence rules for ai-manipulated media, and requires ai content creation tools to warn consumers that misuse (e.g., impersonation) can lead to legal liability. defines terms related to ai and treats using **ai-generated synthetic content for impersonation** as criminal false personation. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB11; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB11,SB,2025
California,SB 238,Employment,"ai (intent)*: states intent to legislate on **ai use in the workplace**, likely regarding ai’s impact on employment practices. *(bill status: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB238,SB,2025
California,SB 243,Chatbots And Minors,"requires operators of chatbot platforms to take steps to **prevent reward systems that encourage excessive use by minors** (e.g., no unpredictable “loot-box” style rewards to keep kids engaged). *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB243,SB,2025
California,SB 259,Affinity-Based Pricing Ban,"announces intent to ban **“affinity-based algorithmic pricing,”** where ai sets personalized prices for groups based on personal data in an opaque or discriminatory way. *(bill status: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB259,SB,2025
California,SB 295,Preventing Algorithmic Collusion Act,"requires businesses, on request of the attorney general, to report their **pricing algorithms**; executives must certify these reports, to deter ai-driven price fixing. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB295,SB,2025
California,SB 366,Ai’S Workforce Impact Study,"calls for a comprehensive study of **ai’s impacts on workers**, job quality, different demographic groups, and state tax revenue (). *(bill text: )*",https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation#:~:text=Pending,SB,2025
California,SB 384,Preventing Algorithmic Price Fixing,prohibits businesses from using **ai price-fixing algorithms** to set prices or supply of goods/services; authorizes civil penalties (per violation) enforced by state or local prosecutors. *(bill text: )*,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB384,SB,2025
California,SB 420,California Ai Bill Of Rights (Intent).,"expresses the intent of the legislature to enact a “california ai bill of rights.” this intent bill declares the state’s aim to develop laws upholding certain rights and values (such as privacy, transparency, fairness, and safety) in the context of artificial intelligence, serving as a framework for future ai regulations.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB420,SB,2025
California,SB 468,High-Risk Artificial Intelligence Systems: Duty To Protect Personal Information.,"requires any business deploying a high-risk ai system that processes personal data to implement and maintain a comprehensive information security program appropriate to the sensitivity of that data. establishes a legal duty for ai deployers to protect personal information, and makes failure to do so (e.g. not having proper safeguards for ai handling personal data) actionable as an unfair or deceptive trade practice under california law.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB468,SB,2025
California,SB 52,Algorithmic Rent Setting Ban,"makes it unlawful to sell or use any **algorithmic device to set residential rent or occupancy levels**, targeting property tech companies and landlords using ai for rent pricing. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB52,SB,2025
California,SB 53,Ai Frontier Models (Intent)*; Calcompute: Foundation Models: Whistleblowers.,"declares intent to enact safeguards for **“frontier” ai models** and build state capacity for ai governance, potentially following recommendations of a state ai working group. *(bill status: )* establishes a public-private consortium to develop a framework for “calcompute” – a state-supported cloud computing cluster for ai research – and requires a report on this framework by 2027 (implementation contingent on funding). it also strengthens protections for employees (whistleblowers) of ai companies developing large-scale foundation models, prohibiting companies from retaliating against workers who report ai-related risks that could cause widespread harm, and requiring internal processes for safe reporting of such risks.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB53; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,SB,2025
California,SB 57,Data Centers,"rates (ai demand)*: enacts the *ratepayer and technological innovation protection act*, requiring the utilities commission to set special electricity rates for data centers to address **ai’s massive power demands**, protect small consumers, and recover grid investment costs. *(bill text: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB57,SB,2025
California,SB 7,Ai (Intent Bill)*; No Robo Bosses Act.,"bars employers in california from relying primarily on ai-driven automated decision systems for hiring, promotion, disciplinary, or termination decisions without meaningful human oversight. it ensures a “human in the loop” for important employment decisions and prohibits the use of ai management tools that predict worker behavior using personal data, protecting workers from unchecked algorithmic management. declares the legislature’s intent to enact **ai-related legislation** (placeholder with no specifics yet). *(bill status: )*",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB7; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB7,SB,2025
California,SB 93,Weapons: Robotic Devices.,"prohibits individuals from operating robotic devices equipped with weapons. violations (operating a “weaponized” robot) would be an infraction subject to fines, with exceptions for government officials and authorized research and development, aiming to prevent the public use of armed robots.",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB93,SB,2025
Colorado,HB 1004,Landlord Pricing Coordination,"bans landlords from using “coordinators” (services often powered by algorithms) to **synchronize rental pricing**, and prohibits conscious parallel pricing among landlords to protect competition. *(bill info: *)",https://leg.colorado.gov/bills/hb23-1004,HB,2025
Colorado,HB 1153,Government Language Access & Ai,"orders a statewide assessment of language accessibility in government services, including evaluating the use of **ai translation/interpretation tools**. *(bill info: *)",https://leg.colorado.gov/bills/hb23-1153,HB,2025
Colorado,HB 1212,Public Safety & Ai,"seeks to protect public safety from ai system risks – a broad measure addressing **high-risk ai systems and algorithmic accountability**, with provisions for notification and a private right of action for harms. *(bill info: *)",https://leg.colorado.gov/bills/hb23-1212,HB,2025
Colorado,HB25-1212,Public Safety Protections Artificial Intelligence,"establishes whistleblower protections for employees of ai model developers who report potential violations or risks to public safety. requires ai developers to inform workers of these rights, implement anonymous internal reporting processes for ai-related safety concerns, and allows aggrieved workers to seek civil remedies for retaliation.",https://leg.colorado.gov/bills/hb25-1212,HB,2025
Colorado,SB 11,Ai Wildfire Detection,supports using **ai-enabled sensors or software for early wildfire detection** as part of wildfire mitigation strategies. *(bill info: *),https://leg.colorado.gov/bills/sb23-011,SB,2025
Colorado,SB 22,Applying Ai To Fight Wildfires,"promotes applying ai to **predict, prevent, and fight wildfires**; includes funding (appropriation) to implement ai-based wildfire tools. *(bill info: *)",https://leg.colorado.gov/bills/sb23-022,SB,2025
Colorado,SB25-022,Applying Artificial Intelligence To Fight Wildfire,"directs \$7.5 million to the state’s fire prevention division to develop and use ai tools for wildfire prediction, prevention, and firefighting. these ai applications include mapping vegetation and fuel loads, predicting wildfire ignition after lightning strikes, tracking active fire perimeters, and forecasting fire spread.",https://leg.colorado.gov/bills/sb25-022,SB,2025
Colorado,SB25-143,Extend Prohibition On School Facial Recognition,"removes the sunset clause on colorado’s ban preventing public schools from contracting for facial recognition services (previously set to expire july 1, 2025), effectively extending the prohibition with limited exceptions for certain educational uses or specific safety threats. the bill also requires schools to obtain consent for biometric data use, provide notice of any use of facial recognition, and establish policies with clear guidelines and oversight for authorized personnel when such technology is used.",https://leg.colorado.gov/bills/sb25-143,SB,2025
Connecticut,HB 5047,Ai & State Workforce Task Force*; An Act Creating A Task Force To Study Artificial Intelligence And The State Workforce,"creates a task force to study ai’s impact on state government workforce and the potential automation of jobs. creates a task force to study how **ai and automation will affect the state workforce**, including the feasibility of increasing ai use in state agencies. *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05047-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5047&which_year=2025,HB,2025
Connecticut,HB 5048,Ai & Trades Industry Study*; An Act Requiring A Study Of The Effect Of Artificial Intelligence On The Trades Industry,"initiates a study on ai's impact on skilled trades, job availability, and necessary training. requires a study on **ai’s impact on the skilled trades** industries (like construction, plumbing, etc.). *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05048-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5048&which_year=2025,HB,2025
Connecticut,HB 5076,Ai Data Centers Efficiency*; An Act Concerning Energy And Water Efficiency Requirements For Artificial Intelligence Data Centers,"sets **energy and water efficiency standards for ai data centers**, and promotes greener operation of high-density computing facilities. *(bill status: )* sets efficiency standards for energy and water usage in ai data centers, requiring renewable energy sourcing.",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05076-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5076&which_year=2025,HB,2025
Connecticut,HB 5587,Health Insurer Ai Ban*; An Act Prohibiting Health Insurers From Using Artificial Intelligence As The Primary Method To Deny Health Insurance Claims,"prohibits health insurers from relying primarily on ai systems to deny claims, ensuring human oversight. prohibits health insurers from using **ai as the primary method to deny claims**, ensuring a human clinician reviews any ai-based denial (). *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05587-R00-HB.PDF; https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation#:~:text=Health%20Insurers,HB,2025
Connecticut,HB 5590,Health Insurer Ai Ban (Duplicate)*; An Act Prohibiting Health Insurers From Using Artificial Intelligence To Deny Health Insurance Claims,"broadly bans the use of ai by insurers to deny claims without human intervention. similar to hb 5587, a parallel proposal banning insurers from using ai to deny health insurance claims. *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05590-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5590&which_year=2025,HB,2025
Connecticut,HB 5598,Deepfake Pornography Criminalization*; An Act Prohibiting The Creation And Dissemination Of Artificial Intelligence-Generated Pornographic Images Of A Person Without Consent,creates criminal penalties for the unauthorized creation or distribution of ai-generated explicit images. criminalizes creation or distribution of **ai-generated pornographic images of a person without consent** (non-consensual deepfake porn). *(bill status: )*,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05598-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5598&which_year=2025,HB,2025
Connecticut,HB 5877,No Ai Teacher Replacements*; An Act Prohibiting The Use Of Artificial Intelligence To Replace Teachers,"bars the replacement of public school teachers with ai, ensuring human-led education. bars use of ai to **replace public school teachers** for instruction or interaction with students, effectively prohibiting fully automated teaching. *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-05877-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5877&which_year=2025,HB,2025
Connecticut,HB 6060,Health Data (Ai Ethics)*; An Act Concerning Health Data,"enacts stringent standards for health data ownership, collection, and use. it includes developing **consent standards for ai-driven health tech** and sets up an ethics review board to ensure fair use of predictive algorithms in healthcare. *(bill status: )* establishes consent standards for ai-enabled health technologies and creates an ethics board to oversee fair use of predictive algorithms in healthcare.",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-06060-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6060&which_year=2025,HB,2025
Connecticut,HB 6478,Ban On Rent-Hike Algorithms*; An Act Prohibiting The Use Of Certain Software To Establish Occupancy Levels And Rental Rates For The Purpose Of Increasing Landlord And Property Manager Profits,prohibits landlords from using algorithms to artificially restrict housing supply or inflate rental prices. prohibits software that uses algorithms to **constrain rental housing supply or hike rents** for profit (often targeting property management ai tools). *(bill status: )*,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-06478-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6478&which_year=2025,HB,2025
Connecticut,HB 6497,Pricing Algorithms In Rentals*; An Act Prohibiting Residential Rental Property Owners From Using Pricing Algorithms And Competitors’ Sensitive Data To Set Rental Prices,"bans residential landlords from using pricing algorithms or competitors' sensitive data to artificially set rental rates. bars landlords from using **pricing algorithms with competitors’ private data to set rents**, to prevent collusion via algorithm. *(bill status: )*",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-06497-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6497&which_year=2025,HB,2025
Connecticut,HB 6846,Ai Deepfakes In Elections,prohibits distributing certain **deceptive ai-generated media (deepfakes)** within 90 days of an election or primary. *(bill status: )*,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6846&which_year=2025,HB,2025
Connecticut,HB 6947,Rental Algorithms Ban* (Same Intent As Hb 6497); An Act Prohibiting Residential Rental Property Owners From Using Pricing Algorithms And Competitors’ Sensitive Data To Set Rental Prices,"another bill to ban use of algorithms and competitors’ data for setting residential rents. *(bill status: )* prevents landlords from using algorithmic pricing tools and competitor data to set rental prices, combating artificial rent inflation.",https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-06947-R00-HB.PDF; https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB6947&which_year=2025,HB,2025
