State,State Abbrev,Theme Keywords,Count,RelativeSize
Pennsylvania,PA,"health, insurers, decisions, care, medical, human",1,0.125
Rhode Island,RI,"ai, systems, use, risk, data, high",3,1.0
Rhode Island,RI,"education, state, intelligence, artificial, department, technology",3,1.0
Rhode Island,RI,"content, generated, media, ai, deepfake, election",2,0.6666666666666666
Rhode Island,RI,"health, insurers, decisions, care, medical, human",2,0.6666666666666666
Rhode Island,RI,"rent, landlords, rental, pricing, algorithms, algorithmic",1,0.3333333333333333
South Carolina,SC,"content, generated, media, ai, deepfake, election",4,1.0
South Carolina,SC,"health, insurers, decisions, care, medical, human",3,0.75
South Carolina,SC,"ai, systems, use, risk, data, high",1,0.25
South Carolina,SC,"child, sexual, generated, abuse, pornography, images",1,0.25
South Dakota,SD,"content, generated, media, ai, deepfake, election",2,1.0
South Dakota,SD,"education, state, intelligence, artificial, department, technology",1,0.5
Tennessee,TN,"education, state, intelligence, artificial, department, technology",6,1.0
Tennessee,TN,"health, insurers, decisions, care, medical, human",2,0.3333333333333333
Texas,TX,"education, state, intelligence, artificial, department, technology",8,1.0
Texas,TX,"ai, systems, use, risk, data, high",7,0.875
Texas,TX,"content, generated, media, ai, deepfake, election",7,0.875
Texas,TX,"health, insurers, decisions, care, medical, human",5,0.625
Texas,TX,"child, sexual, generated, abuse, pornography, images",2,0.25
Utah,UT,"ai, systems, use, risk, data, high",2,1.0
Utah,UT,"content, generated, media, ai, deepfake, election",2,1.0
Utah,UT,"education, state, intelligence, artificial, department, technology",2,1.0
Utah,UT,"health, insurers, decisions, care, medical, human",1,0.5
Vermont,VT,"ai, systems, use, risk, data, high",2,1.0
Vermont,VT,"content, generated, media, ai, deepfake, election",1,0.5
Vermont,VT,"rent, landlords, rental, pricing, algorithms, algorithmic",1,0.5
Virginia,VA,"content, generated, media, ai, deepfake, election",7,1.0
Virginia,VA,"ai, systems, use, risk, data, high",6,0.8571428571428571
Virginia,VA,"health, insurers, decisions, care, medical, human",5,0.7142857142857143
Virginia,VA,"education, state, intelligence, artificial, department, technology",4,0.5714285714285714
Virginia,VA,"rent, landlords, rental, pricing, algorithms, algorithmic",3,0.42857142857142855
Washington,WA,"ai, systems, use, risk, data, high",3,1.0
Washington,WA,"child, sexual, generated, abuse, pornography, images",3,1.0
Washington,WA,"education, state, intelligence, artificial, department, technology",3,1.0
Washington,WA,"content, generated, media, ai, deepfake, election",2,0.6666666666666666
Washington,WA,"health, insurers, decisions, care, medical, human",2,0.6666666666666666
West Virginia,WV,"ai, systems, use, risk, data, high",3,1.0
West Virginia,WV,"education, state, intelligence, artificial, department, technology",3,1.0
West Virginia,WV,"content, generated, media, ai, deepfake, election",2,0.6666666666666666
West Virginia,WV,"child, sexual, generated, abuse, pornography, images",1,0.3333333333333333
Wisconsin,WI,"content, generated, media, ai, deepfake, election",2,1.0
