State,Theme Keywords,Count,MaxStateCount,RelativeSize
New Mexico,"media, deepfake, images, election, political, disclosure",3,5,0.6
New Mexico,"health, insurers, decisions, care, medical, review",1,5,0.2
New Mexico,"rent, landlords, rental, pricing, algorithms, algorithmic",1,5,0.2
New Mexico,"systems, risk, data, high, consumer, transparency",1,5,0.2
New York,"media, deepfake, images, election, political, disclosure",13,13,1.0
New York,"systems, risk, data, high, consumer, transparency",13,13,1.0
New York,"health, insurers, decisions, care, medical, review",11,13,0.8461538461538461
New York,"education, study, schools, school, develop, directs",10,13,0.7692307692307693
New York,"rent, landlords, rental, pricing, algorithms, algorithmic",4,13,0.3076923076923077
North Carolina,"media, deepfake, images, election, political, disclosure",1,1,1.0
North Dakota,"education, study, schools, school, develop, directs",10,10,1.0
North Dakota,"child, sexual, abuse, pornography, images, laws",4,10,0.4
North Dakota,"media, deepfake, images, election, political, disclosure",4,10,0.4
North Dakota,"systems, risk, data, high, consumer, transparency",3,10,0.3
Ohio,"education, study, schools, school, develop, directs",5,5,1.0
Ohio,"rent, landlords, rental, pricing, algorithms, algorithmic",2,5,0.4
Ohio,"media, deepfake, images, election, political, disclosure",1,5,0.2
Oklahoma,"education, study, schools, school, develop, directs",13,13,1.0
Oklahoma,"media, deepfake, images, election, political, disclosure",6,13,0.46153846153846156
Oklahoma,"systems, risk, data, high, consumer, transparency",4,13,0.3076923076923077
Oklahoma,"child, sexual, abuse, pornography, images, laws",2,13,0.15384615384615385
Oklahoma,"health, insurers, decisions, care, medical, review",2,13,0.15384615384615385
Oregon,"education, study, schools, school, develop, directs",8,8,1.0
Oregon,"media, deepfake, images, election, political, disclosure",5,8,0.625
Oregon,"child, sexual, abuse, pornography, images, laws",2,8,0.25
Oregon,"health, insurers, decisions, care, medical, review",2,8,0.25
Oregon,"rent, landlords, rental, pricing, algorithms, algorithmic",2,8,0.25
Pennsylvania,"media, deepfake, images, election, political, disclosure",7,7,1.0
Pennsylvania,"systems, risk, data, high, consumer, transparency",3,7,0.42857142857142855
Pennsylvania,"health, insurers, decisions, care, medical, review",2,7,0.2857142857142857
Pennsylvania,"education, study, schools, school, develop, directs",1,7,0.14285714285714285
Pennsylvania,"rent, landlords, rental, pricing, algorithms, algorithmic",1,7,0.14285714285714285
Rhode Island,"education, study, schools, school, develop, directs",3,3,1.0
Rhode Island,"systems, risk, data, high, consumer, transparency",3,3,1.0
Rhode Island,"health, insurers, decisions, care, medical, review",2,3,0.6666666666666666
Rhode Island,"media, deepfake, images, election, political, disclosure",2,3,0.6666666666666666
Rhode Island,"rent, landlords, rental, pricing, algorithms, algorithmic",1,3,0.3333333333333333
South Carolina,"media, deepfake, images, election, political, disclosure",7,7,1.0
South Carolina,"health, insurers, decisions, care, medical, review",1,7,0.14285714285714285
South Carolina,"systems, risk, data, high, consumer, transparency",1,7,0.14285714285714285
South Dakota,"media, deepfake, images, election, political, disclosure",2,2,1.0
South Dakota,"education, study, schools, school, develop, directs",1,2,0.5
Tennessee,"education, study, schools, school, develop, directs",6,6,1.0
Tennessee,"health, insurers, decisions, care, medical, review",2,6,0.3333333333333333
Texas,"systems, risk, data, high, consumer, transparency",8,8,1.0
Texas,"education, study, schools, school, develop, directs",7,8,0.875
Texas,"health, insurers, decisions, care, medical, review",6,8,0.75
Texas,"media, deepfake, images, election, political, disclosure",5,8,0.625
Texas,"child, sexual, abuse, pornography, images, laws",3,8,0.375
Utah,"education, study, schools, school, develop, directs",2,2,1.0
Utah,"media, deepfake, images, election, political, disclosure",2,2,1.0
Utah,"systems, risk, data, high, consumer, transparency",2,2,1.0
Utah,"health, insurers, decisions, care, medical, review",1,2,0.5
Vermont,"systems, risk, data, high, consumer, transparency",2,2,1.0
Vermont,"media, deepfake, images, election, political, disclosure",1,2,0.5
Vermont,"rent, landlords, rental, pricing, algorithms, algorithmic",1,2,0.5
Virginia,"media, deepfake, images, election, political, disclosure",7,7,1.0
Virginia,"education, study, schools, school, develop, directs",6,7,0.8571428571428571
Virginia,"health, insurers, decisions, care, medical, review",5,7,0.7142857142857143
Virginia,"systems, risk, data, high, consumer, transparency",4,7,0.5714285714285714
Virginia,"rent, landlords, rental, pricing, algorithms, algorithmic",3,7,0.42857142857142855
Washington,"child, sexual, abuse, pornography, images, laws",3,3,1.0
Washington,"education, study, schools, school, develop, directs",3,3,1.0
Washington,"systems, risk, data, high, consumer, transparency",3,3,1.0
Washington,"health, insurers, decisions, care, medical, review",2,3,0.6666666666666666
Washington,"media, deepfake, images, election, political, disclosure",2,3,0.6666666666666666
West Virginia,"systems, risk, data, high, consumer, transparency",4,4,1.0
West Virginia,"education, study, schools, school, develop, directs",2,4,0.5
West Virginia,"media, deepfake, images, election, political, disclosure",2,4,0.5
West Virginia,"child, sexual, abuse, pornography, images, laws",1,4,0.25
Wisconsin,"media, deepfake, images, election, political, disclosure",1,1,1.0
